SR.No,Country/other,Total_cases,Total_deaths,Total_recovered,Active_cases,Serious_cases,Total_tests,Population
145,Cabo Verde,64217,414,63721,82,23,401622,567678
146,Sudan,63993,5046,58876,71,0,562941,45992020
147,Mauritania,63715,997,62471,247,0,1009957,4901981
148,Bhutan,62691,21,61564,1106,0,2303734,787941
149,Syria,57706,3165,54541,0,0,146269,19364809
150,Burundi,54234,38,53569,627,0,345742,12624840
151,Seychelles,50937,172,50750,15,0,0,99426
152,Gabon,48992,307,48674,11,0,1621909,2331533
153,Andorra,48015,165,47563,287,14,249838,77463
154,Papua New Guinea,46864,670,43982,2212,7,249149,9292169
155,Curaçao,45986,295,44720,971,3,496693,165529
156,Aruba,44224,292,42438,1494,2,177885,107609
157,Tanzania,43078,846,0,0,7,0,63298550
158,Mauritius,42810,1051,41078,681,0,358675,1274727
159,Mayotte,42027,188,0,0,0,176919,286259
160,Togo,39510,290,39216,4,0,812881,8680837
161,Guinea,38563,468,37757,338,8,660107,13865691
162,Bahamas,38084,844,36366,874,1,257839,400516
163,Isle of Man,38008,116,0,0,0,150753,85732
164,Lesotho,34790,723,25980,8087,0,431221,2175699
165,Faeroe Islands,34658,28,0,0,5,778000,49233
166,Haiti,34306,860,33372,74,0,132422,11680283
167,Mali,33151,743,32332,76,0,804909,21473764
168,Cayman Islands,31472,37,8553,22882,1,222773,67277
169,Saint Lucia,30052,409,29095,548,0,210983,185113
170,Benin,28014,163,27847,4,0,604310,12784726
171,Somalia,27334,1361,13182,12791,0,400466,16841795
172,Micronesia,26472,65,0,0,1,82430,117489
173,Congo,25375,386,24006,983,0,347815,5797805
174,Solomon Islands,24575,153,0,0,1,0,721159
175,San Marino,24382,125,24249,8,4,196855,34085
176,Timor-Leste,23460,138,23102,220,0,278529,1369429
177,Burkina Faso,22056,396,21596,64,0,248995,22102838
178,Liechtenstein,21473,94,21352,27,0,112457,38387
179,Gibraltar,20550,113,16579,3858,0,534283,33704
180,Grenada,19693,238,19358,97,4,182981,113475
181,Bermuda,18860,165,18685,10,0,1029558,61939
182,Nicaragua,18491,225,4225,14041,0,0,6779100
183,South Sudan,18368,138,18115,115,1,410280,11618511
184,Tajikistan,17786,125,17264,397,0,0,9957464
185,Equatorial Guinea,17229,183,16907,139,5,365697,1496662
186,Monaco,16871,67,15992,812,4,78646,39783
187,Tonga,16819,13,15638,1168,0,535009,107749
188,Samoa,16775,31,1605,15139,0,187397,202239
189,Marshall Islands,16098,17,16079,2,0,0,60057
190,Dominica,15760,74,15673,13,0,229344,72344
191,Djibouti,15690,189,15427,74,0,305941,1016097
192,CAR,15368,113,15200,55,2,81294,5016678
193,Macao,13708,123,3487,10098,0,7850,667490
194,Gambia,12626,372,12189,65,0,155686,2558482
195,Saint Martin,12324,63,1399,10862,7,112382,39730
196,Vanuatu,12019,14,11976,29,0,24976,321832
197,Greenland,11971,21,2761,9189,4,164926,56973
198,Yemen,11945,2159,9124,662,23,329592,31154867
199,Caribbean Netherlands,11682,38,10476,1168,0,30126,26647
200,Sint Maarten,11051,92,10905,54,0,62056,43966
201,Eritrea,10189,103,10086,0,0,23693,3662244
202,Niger,9931,312,8890,729,1,254538,26083660
203,St. Vincent Grenadines,9631,124,9493,14,0,114197,111551
204,Guinea-Bissau,9614,177,8929,508,6,145231,2063367
205,Comoros,9109,161,8939,9,0,0,907419
206,Antigua and Barbuda,9106,146,8954,6,1,18901,99509
207,Liberia,8090,295,7783,12,2,139824,5305117
208,Sierra Leone,7762,126,0,0,0,259958,8306436
209,Chad,7701,194,4874,2633,0,191341,17413580
210,British Virgin Islands,7305,64,0,0,0,107339,30596
211,Cook Islands,7152,2,7150,0,0,19690,17571
212,Turks and Caicos,6630,39,6576,15,4,614852,39741
213,Saint Kitts and Nevis,6607,48,6559,0,0,126958,53871
214,Sao Tome and Principe,6589,80,6509,0,0,29036,227679
215,Palau,6160,9,6089,62,0,70271,18233
216,St. Barth,5507,6,0,0,0,78646,9945
217,Nauru,5393,1,5347,45,0,20509,10903
218,Kiribati,5082,24,2703,2355,3,0,123419
219,Anguilla,3904,12,3879,13,4,51382,15230
