date,Manhattan_All,Manhattan_Q1,Manhattan_Q2,Manhattan_Q3,Manhattan_Q4,Manhattan_Q5,Manhattan_All_MoM,Manhattan_Q1_MoM,Manhattan_Q2_MoM,Manhattan_Q3_MoM,Manhattan_Q4_MoM,Manhattan_Q5_MoM,Manhattan_All_YoY,Manhattan_Q1_YoY,Manhattan_Q2_YoY,Manhattan_Q3_YoY,Manhattan_Q4_YoY,Manhattan_Q5_YoY
2008-09-01,2661.0,1641.9747199819,2188.4857847058,2710.8820968633,3427.1026292597,5540.1810463542,-0.007459903021260761,-0.007343050163573284,-0.005646823644253063,-0.004899450538992434,-0.008358004211437398,-0.00971322054028545,-0.0018754688672167896,-0.0029906711198448566,-0.014070677488901895,0.00854408628255432,-0.010893548674469122,-0.003815275961472686
2008-10-01,2620.0,1617.9396102675,2164.1894508395,2661.765649502,3359.2604547854,5452.5750108209,-0.015407741450582435,-0.01463792920920548,-0.01110189247565363,-0.018118252880909624,-0.01979578139711413,-0.01581284705324748,-0.016147202403304584,-0.018818762955220225,-0.031724977950987165,-0.02260989163036653,-0.013240432630164278,-0.007384850170786383
2008-11-01,2579.0,1594.3934804226,2124.1312948838,2630.907027938,3314.5754010594,5348.9299581662,-0.015648854961832104,-0.014553157420385432,-0.018509542193804296,-0.011593290179311544,-0.013302050950632305,-0.019008459755072038,-0.04055059523809523,-0.035101709717898166,-0.05944126427191254,-0.04375142532776666,-0.03439838935693906,-0.03987122408415589
2008-12-01,2532.0,1571.553706194,2081.4634907099,2583.1557176418,3248.9702375717,5246.8116806962,-0.01822411787514544,-0.014325054956036531,-0.02008717835694529,-0.018150132174615585,-0.019792931386243717,-0.019091346917731844,-0.05873605947955385,-0.05208059352045491,-0.08214540779270707,-0.05055205066362134,-0.05126629175298747,-0.06438953120782764
2009-01-01,2491.0,1537.5682509382,2050.1695835827,2538.447159247,3211.3391883395,5166.7262179223,-0.01619273301737756,-0.02162538583431939,-0.015034569314750224,-0.017307728717034232,-0.011582454279521426,-0.015263643455804998,-0.07190760059612522,-0.07896283449526009,-0.07887720486165128,-0.07382525500015702,-0.061168371826880064,-0.07269149547158993
2009-02-01,2458.0,1524.1313541764,2013.7395997772,2508.309154041,3176.1821891867,5083.7433178965,-0.013247691690084329,-0.008739057114115711,-0.01776925386915451,-0.01187261475828394,-0.010947768856200857,-0.016061021336479797,-0.08043396932285818,-0.08007462900455864,-0.08019727289421341,-0.07867829871752718,-0.07935958324728243,-0.08763152639223304
2009-03-01,2434.0,1503.0487259217,1995.2849132603,2490.4068035205,3149.6950497384,5032.7432775442,-0.009764035801464566,-0.013832553340582976,-0.009164385762162053,-0.007137218508993848,-0.00833930104465519,-0.010031985716659308,-0.09212980231256995,-0.0891898782500834,-0.09725313845188788,-0.08602311605137236,-0.09495547636374746,-0.09610615204407502
2009-04-01,2411.0,1490.3632403949,1966.7314707142,2462.9677843033,3121.0183003762,5003.1115399835,-0.009449465899753484,-0.008439836518953192,-0.01431045880031423,-0.011017886386437525,-0.009104611370101323,-0.005887790401095105,-0.10003732736095561,-0.09864220016418712,-0.10801759651038345,-0.09436418844684735,-0.09725377627304588,-0.1048446790483325
2009-05-01,2398.0,1482.1774941497,1964.3945637929,2429.218235836,3121.0845041765,4958.8770660051,-0.005391953546246331,-0.005492450446530794,-0.0011882186033517206,-0.013702797366002328,2.1212243546342435e-05,-0.00884139272628448,-0.10555762775083921,-0.10515733627040103,-0.11010940731801988,-0.10694722590056827,-0.09707061678886919,-0.1127836840585843
2009-06-01,2398.0,1481.3713421706,1962.513833437,2438.6313094334,3115.7256758532,4957.0976989254,0.0,-0.0005438970584035197,-0.000957409672458498,0.003874939459344473,-0.0017169763638662516,-0.0003588246000082451,-0.10589112602535422,-0.10737707094359983,-0.11038479981219285,-0.10262808188617445,-0.0959826286049047,-0.11454659605200246
