date,sales,MoM,YoY
2012-11-01,444313.0,-0.053388357209207205,-0.0798134414136038
2012-12-01,439095.0,-0.011743973280097575,-0.09215243577179288
2013-01-01,437998.0,-0.0024983204090230915,-0.09816832620924243
2013-02-01,448960.0,0.025027511541148684,-0.06348236207036817
2013-03-01,442558.0,-0.01425962223806132,-0.08466892108501645
2013-04-01,466038.0,0.053055192765693926,-0.04325136623240111
2013-05-01,480126.0,0.03022929460687762,-0.017152332115331514
2013-06-01,491339.0,0.02335428616654789,0.027525372403942372
2013-07-01,503702.0,0.025161853628553832,0.08267829084960998
2013-08-01,488746.0,-0.029692159252891592,0.06754590211916423
2013-09-01,504608.0,0.03245448556100716,0.08888538832196491
2013-10-01,508826.0,0.008358963789713902,0.08405699530436417
2013-11-01,503851.0,-0.00977740917327341,0.1340001305386067
2013-12-01,488835.0,-0.02980246144197396,0.11327844771632556
2014-01-01,486878.0,-0.004003395828858447,0.11159868309900967
2014-02-01,483075.0,-0.007810991665263112,0.07598672487526725
2014-03-01,488012.0,0.010219945143093767,0.10270744173645041
2014-04-01,487903.0,-0.00022335516339766492,0.046916775026929036
2014-05-01,512522.0,0.050458800212337396,0.0674739547535439
2014-06-01,533386.0,0.04070849641576357,0.08557635359700733
2014-07-01,541535.0,0.015277866310701826,0.0751098864010864
2014-08-01,568196.0,0.04923227492221183,0.16255887516214962
2014-09-01,544976.0,-0.04086617998014774,0.07999873168875649
2014-10-01,540004.0,-0.009123337541469767,0.06127438456368184
2014-11-01,543354.0,0.006203657750683433,0.07840214666637557
2014-12-01,555890.0,0.023071515071205972,0.1371730747593769
2015-01-01,577284.0,0.03848603140909179,0.1856851202970764
2015-02-01,592032.0,0.025547217660631505,0.22554882782176677
2015-03-01,600881.0,0.0149468271985298,0.2312832471332673
2015-04-01,582033.0,-0.03136727571682252,0.1929276925946346
2015-05-01,581808.0,-0.0003865760188854761,0.13518639199878257
2015-06-01,597642.0,0.027215163765365924,0.12046810377475214
2015-07-01,599496.0,0.0031021916130391514,0.10703093982845058
2015-08-01,591832.0,-0.012784071953774512,0.04159832170589017
2015-09-01,599326.0,0.012662377161086313,0.09972916238513263
2015-10-01,592638.0,-0.011159202170438087,0.09746964837297512
2015-11-01,614547.0,0.036968604780658776,0.1310250775737365
2015-12-01,616801.0,0.003667742255677675,0.10957383655039665
2016-01-01,612880.0,-0.006356993584640702,0.061661158112817915
2016-02-01,610054.0,-0.004611016838532822,0.030440922112318303
2016-03-01,606473.0,-0.005869972166398396,0.009306335197817761
2016-04-01,603855.0,-0.004316762658848838,0.03749271948497768
