Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
The Rockaways,Queens,submarket,31.0,27.0,35.0,41.0,40.0,58.0,42.0,40.0,43.0,27.0,17.0,34.0,24.0,34.0,35.0,18.0,37.0,41.0,36.0,43.0,37.0,34.0,28.0,47.0,27.0,24.0,26.0,26.0,37.0,34.0,37.0,39.0,22.0,23.0,5.0,22.0,16.0,20.0,33.0,32.0,27.0,35.0,31.0,44.0,35.0,56.0,28.0,44.0,38.0,20.0,36.0,37.0,37.0,33.0,55.0,47.0,39.0,51.0,45.0,48.0,37.0,35.0,47.0,35.0,42.0,59.0,60.0,59.0,51.0,50.0,49.0,49.0,42.0,34.0,43.0,48.0,54.0,39.0,41.0,64.0,44.0,41.0,43.0,40.0,39.0,33.0,50.0,29.0,59.0,50.0,41.0,58.0,47.0,42.0,39.0,47.0,44.0,37.0,25.0,43.0,44.0,53.0,52.0,34.0,32.0
Throgs Neck,Bronx,neighborhood,12.0,12.0,11.0,7.0,8.0,20.0,13.0,4.0,19.0,10.0,8.0,9.0,14.0,7.0,14.0,7.0,10.0,11.0,20.0,11.0,10.0,13.0,10.0,20.0,8.0,17.0,10.0,7.0,12.0,15.0,8.0,13.0,13.0,8.0,14.0,15.0,14.0,11.0,14.0,11.0,19.0,9.0,14.0,8.0,9.0,20.0,14.0,22.0,7.0,7.0,12.0,9.0,11.0,16.0,15.0,15.0,17.0,18.0,19.0,16.0,10.0,9.0,10.0,12.0,15.0,18.0,22.0,25.0,18.0,14.0,18.0,27.0,9.0,21.0,22.0,20.0,18.0,19.0,17.0,18.0,22.0,25.0,15.0,26.0,20.0,15.0,15.0,19.0,20.0,18.0,20.0,22.0,29.0,21.0,28.0,26.0,23.0,16.0,17.0,16.0,19.0,21.0,15.0,21.0,22.0
Tremont,Bronx,neighborhood,3.0,2.0,,4.0,1.0,2.0,1.0,2.0,,,,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,2.0,2.0,,1.0,3.0,2.0,2.0,2.0,3.0,,5.0,2.0,,1.0,2.0,3.0,3.0,1.0,3.0,4.0,2.0,,2.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,4.0,3.0,2.0,3.0,6.0,1.0,1.0,4.0,2.0,,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,7.0,4.0,3.0,4.0,6.0,10.0,1.0,5.0,5.0,4.0,7.0,2.0,5.0,5.0,3.0,6.0,3.0,1.0,5.0,3.0,6.0,3.0,6.0,1.0,9.0,2.0,4.0
Tribeca,Manhattan,neighborhood,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,2.0,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,2.0,1.0,,,,1.0,,,1.0,,,,,,,,2.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,2.0,4.0,,
University Heights,Bronx,neighborhood,1.0,6.0,2.0,3.0,,3.0,1.0,1.0,1.0,,2.0,1.0,3.0,1.0,1.0,1.0,,,1.0,2.0,3.0,1.0,,2.0,1.0,2.0,1.0,,1.0,4.0,,1.0,2.0,1.0,3.0,1.0,4.0,,2.0,2.0,1.0,1.0,2.0,6.0,4.0,5.0,4.0,1.0,,3.0,,2.0,,,3.0,3.0,,5.0,1.0,3.0,2.0,1.0,4.0,1.0,2.0,3.0,4.0,1.0,1.0,,1.0,5.0,,2.0,3.0,1.0,2.0,3.0,5.0,3.0,5.0,2.0,1.0,5.0,3.0,1.0,3.0,4.0,2.0,1.0,,2.0,5.0,2.0,1.0,6.0,4.0,4.0,3.0,2.0,6.0,4.0,7.0,3.0,9.0
Upper East Side,Manhattan,neighborhood,4.0,3.0,2.0,8.0,3.0,5.0,4.0,7.0,5.0,7.0,3.0,10.0,2.0,4.0,3.0,1.0,7.0,8.0,6.0,7.0,3.0,3.0,7.0,4.0,7.0,3.0,9.0,4.0,7.0,5.0,3.0,7.0,2.0,7.0,4.0,25.0,3.0,4.0,6.0,7.0,6.0,6.0,4.0,5.0,5.0,3.0,3.0,4.0,7.0,8.0,2.0,4.0,3.0,4.0,7.0,6.0,3.0,5.0,4.0,4.0,9.0,2.0,2.0,3.0,7.0,6.0,7.0,7.0,4.0,5.0,4.0,2.0,4.0,8.0,3.0,10.0,1.0,4.0,6.0,3.0,5.0,4.0,3.0,3.0,8.0,4.0,3.0,4.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,2.0,5.0,1.0,2.0,4.0,9.0,6.0,6.0,3.0,4.0
Upper West Side,Manhattan,neighborhood,2.0,1.0,3.0,3.0,7.0,1.0,1.0,1.0,4.0,2.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,5.0,8.0,4.0,,,,10.0,1.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,5.0,1.0,2.0,2.0,4.0,4.0,,1.0,4.0,4.0,5.0,2.0,2.0,1.0,4.0,4.0,1.0,,1.0,1.0,4.0,4.0,4.0,2.0,,,4.0,1.0,1.0,4.0,3.0,3.0,4.0,,6.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,5.0,2.0,3.0,2.0,2.0,,1.0,2.0,4.0,3.0,2.0,,1.0,2.0,3.0,1.0,4.0,
Utopia,Queens,neighborhood,2.0,4.0,7.0,3.0,,1.0,,,3.0,3.0,2.0,1.0,1.0,,3.0,5.0,,4.0,1.0,5.0,,1.0,2.0,1.0,1.0,,2.0,2.0,2.0,3.0,1.0,,,3.0,1.0,4.0,3.0,2.0,5.0,2.0,2.0,4.0,3.0,4.0,2.0,5.0,3.0,2.0,,2.0,,2.0,1.0,2.0,4.0,4.0,6.0,3.0,2.0,6.0,1.0,1.0,3.0,2.0,2.0,,4.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,9.0,4.0,1.0,1.0,1.0,3.0,,1.0,3.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,
Van Nest,Bronx,neighborhood,1.0,6.0,5.0,,5.0,7.0,2.0,6.0,7.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,7.0,,4.0,2.0,4.0,1.0,7.0,4.0,1.0,4.0,5.0,9.0,5.0,9.0,8.0,1.0,4.0,1.0,1.0,3.0,2.0,5.0,2.0,4.0,3.0,3.0,10.0,8.0,8.0,8.0,11.0,7.0,4.0,1.0,3.0,10.0,9.0,9.0,5.0,8.0,9.0,8.0,7.0,6.0,7.0,11.0,6.0,6.0,6.0,11.0,5.0,2.0,5.0,2.0,14.0,5.0,4.0,13.0,8.0,5.0,7.0,9.0,6.0,6.0,11.0,11.0,7.0,5.0,3.0,6.0,11.0,4.0,14.0,5.0,9.0,10.0,6.0,5.0,6.0,10.0,6.0,6.0,9.0,9.0,12.0,6.0,12.0,12.0
Wakefield,Bronx,neighborhood,12.0,3.0,15.0,11.0,12.0,18.0,14.0,8.0,6.0,7.0,4.0,14.0,7.0,8.0,22.0,11.0,12.0,13.0,12.0,12.0,9.0,16.0,10.0,9.0,7.0,12.0,10.0,13.0,13.0,12.0,10.0,4.0,10.0,14.0,8.0,9.0,5.0,7.0,15.0,12.0,14.0,15.0,11.0,12.0,14.0,15.0,15.0,18.0,10.0,11.0,15.0,12.0,20.0,16.0,12.0,13.0,11.0,6.0,10.0,17.0,11.0,12.0,17.0,24.0,9.0,21.0,16.0,17.0,14.0,13.0,7.0,18.0,14.0,12.0,12.0,26.0,23.0,21.0,16.0,14.0,16.0,26.0,22.0,23.0,15.0,16.0,24.0,21.0,17.0,21.0,13.0,23.0,20.0,21.0,20.0,14.0,18.0,25.0,27.0,23.0,22.0,17.0,27.0,16.0,14.0
