date,NYC_All,NYC_All_MoM,NYC_All_YoY
2011-03-01,546668.0,0.0013866729192120175,-0.024792798707021113
2011-04-01,544517.0,-0.0039347465006183135,-0.029547528408685908
2011-05-01,544817.0,0.0005509469860445204,-0.03288582621955005
2011-06-01,546065.0,0.002290677420124565,-0.03535548925150023
2011-07-01,547189.0,0.002058363015391862,-0.019973457080887824
2011-08-01,545677.0,-0.002763213441790646,-0.02200886448238848
2011-09-01,542132.0,-0.006496517170413996,-0.026729692417341577
2011-10-01,535082.0,-0.013004212996096887,-0.035605051573705415
2011-11-01,534000.0,-0.0020221199741348173,-0.032838221364132836
2011-12-01,535967.0,0.0036835205992509223,-0.020741103451552
2012-01-01,535782.0,-0.00034517050490046053,-0.018845465716122223
2012-02-01,534161.0,-0.00302548424545801,-0.021523654954745397
2012-03-01,536010.0,0.0034615031797529117,-0.019496293911478224
2012-04-01,533416.0,-0.004839461950336799,-0.020386874973600477
2012-05-01,534252.0,0.001567257075153261,-0.019391832486871707
2012-06-01,535802.0,0.0029012525924094756,-0.01879446586029132
2012-07-01,533602.0,-0.004105994378520439,-0.024830543011646777
2012-08-01,533789.0,0.00035044846158749365,-0.02178578169869716
2012-09-01,534842.0,0.001972689583337184,-0.013446909608729962
2012-10-01,535526.0,0.0012788823615197398,0.0008297793609204351
2012-11-01,531683.0,-0.007176122167737886,-0.004338951310861372
2012-12-01,534682.0,0.005640579066849893,-0.002397535669173667
2013-01-01,531896.0,-0.00521057376160039,-0.007252949893800098
2013-02-01,530122.0,-0.003335238467670365,-0.007561390666858903
2013-03-01,530246.0,0.0002339084210805087,-0.010753530717710458
2013-04-01,537697.0,0.014051968331679987,0.008025631027190894
2013-05-01,544215.0,0.01212206874875621,0.01864850295366227
2013-06-01,546454.0,0.004114182813777623,0.01988047823636352
2013-07-01,551043.0,0.008397779136029682,0.03268540972485101
2013-08-01,552222.0,0.0021395789439300206,0.03453237140518062
2013-09-01,554995.0,0.005021531195787299,0.037680286888464254
2013-10-01,557753.0,0.004969414138866091,0.041504987619648714
2013-11-01,554954.0,-0.0050183504167615745,0.04376856134200269
2013-12-01,552254.0,-0.004865268112312027,0.03286439416325959
2014-01-01,560374.0,0.014703379242160253,0.053540541760043414
2014-02-01,561916.0,0.00275173366358894,0.05997487370831611
2014-03-01,561303.0,-0.0010909103851821644,0.05857092745631265
2014-04-01,562198.0,0.0015945042160829814,0.04556655514165042
2014-05-01,569606.0,0.013176852283359297,0.04665619286495226
2014-06-01,572243.0,0.00462951584077409,0.04719335936785174
2014-07-01,579061.0,0.011914518832034648,0.05084539682021183
2014-08-01,580065.0,0.0017338415123795414,0.050419939806816805
2014-09-01,576502.0,-0.00614241507417268,0.038751700465770034
2014-10-01,580526.0,0.006980027822973689,0.04082990140797094
2014-11-01,580150.0,-0.0006476884756237977,0.045401961243634714
2014-12-01,581173.0,0.001763337067999693,0.052365397081777676
2015-01-01,583042.0,0.0032159098925792495,0.04045155556824542
2015-02-01,590072.0,0.012057450406660175,0.0501071334505514
2015-03-01,588095.0,-0.0033504385905448464,0.0477317954830101
2015-04-01,585656.0,-0.004147289128457188,0.04172551307546457
2015-05-01,592228.0,0.011221604491373771,0.03971517153962556
2015-06-01,592495.0,0.00045083987923577595,0.0353905596049231
2015-07-01,599825.0,0.012371412416982475,0.03585805295124356
2015-08-01,603212.0,0.005646646938690436,0.03990414867299363
2015-09-01,606076.0,0.004747916155514176,0.05129904146039399
2015-10-01,605187.0,-0.0014668127429563471,0.04248044015255137
2015-11-01,608397.0,0.00530414566076276,0.04868913212100323
2015-12-01,610083.0,0.002771216820595779,0.04974422418109592
2016-01-01,607650.0,-0.003987981963109899,0.04220622185022682
2016-02-01,604368.0,-0.005401135522093314,0.024227551891972565
2016-03-01,602458.0,-0.003160326158896609,0.02442292486758091
2016-04-01,602132.0,-0.0005411165591626688,0.028132555629926115
2016-05-01,603292.0,0.0019264878797340401,0.018681994096868104
2016-06-01,601520.0,-0.0029372177983464365,0.015232196052287428
2016-07-01,606676.0,0.008571618566298733,0.0114216646521903
2016-08-01,604840.0,-0.0030263270674956155,0.0026988853006904012
2016-09-01,604445.0,-0.0006530652734607623,-0.0026910816465262055
2016-10-01,603972.0,-0.0007825360454631891,-0.0020076439183260852
2016-11-01,606413.0,0.004041578086401376,-0.0032610285718042142
2016-12-01,608355.0,0.003202437942458447,-0.0028324014929116403
2017-01-01,615808.0,0.012251070509817552,0.013425491648152654
2017-02-01,611144.0,-0.007573789233007666,0.011211712069467694
2017-03-01,614257.0,0.0050937258649352835,0.019584767734846187
2017-04-01,619472.0,0.008489931738669743,0.02879767227119645
2017-05-01,620709.0,0.0019968618436345675,0.02886993363081225
2017-06-01,621147.0,0.0007056446740743016,0.03262900651682399
2017-07-01,623116.0,0.003169942058804054,0.02709848419914418
2017-08-01,622470.0,-0.0010367251041539793,0.029148204483830487
2017-09-01,628538.0,0.009748260960367627,0.03985970601129951
2017-10-01,627490.0,-0.0016673614005835447,0.0389388912068771
2017-11-01,628025.0,0.0008526032287368146,0.03563907765829555
2017-12-01,627182.0,-0.0013423032522590361,0.03094739091484411
2018-01-01,636649.0,0.01509450207435803,0.033843340781542386
2018-02-01,632907.0,-0.0058776500080892635,0.035610265338447133
2018-03-01,635611.0,0.004272349650106477,0.03476395059396964
2018-04-01,637984.0,0.003733415563921927,0.02988351370199127
2018-05-01,637348.0,-0.0009968902041430638,0.026806442310325806
2018-06-01,635851.0,-0.002348795320609831,0.023672335212115758
2018-07-01,637190.0,0.002105839261084652,0.022586484699478104
2018-08-01,639558.0,0.003716316954126775,0.02745192539399488
2018-09-01,639664.0,0.00016573946381726046,0.017701395937874898
