date,rentals,MoM,YoY
2016-03-01,2854.0,0.0038691523039042774,0.03069700252798846
2016-04-01,2864.0,0.0035038542396637062,0.027997128499640977
2016-05-01,2881.0,0.005935754189944076,0.027094474153297687
2016-06-01,2892.0,0.0038181187087815704,0.024079320113314484
2016-07-01,2895.0,0.0010373443983402453,0.021164021164021163
2016-08-01,2895.0,0.0,0.014010507880910739
2016-09-01,2882.0,-0.004490500863557845,0.0091036414565826
2016-10-01,2874.0,-0.002775850104094424,0.00700770847932719
2016-11-01,2866.0,-0.0027835768963118124,0.006673691605198373
2016-12-01,2847.0,-0.0066294487090020615,-0.000351123595505598
2017-01-01,2853.0,0.0021074815595363283,0.00175561797752799
2017-02-01,2858.0,0.001752541184717904,0.005276116778051287
2017-03-01,2863.0,0.0017494751574527179,0.0031534688156973356
2017-04-01,2880.0,0.005937827453719846,0.005586592178770999
2017-05-01,2895.0,0.005208333333333259,0.004859423811176766
2017-06-01,2909.0,0.004835924006908465,0.005878284923928057
2017-07-01,2917.0,0.0027500859401856648,0.007599309153713207
2017-08-01,2914.0,-0.001028453890983938,0.006563039723661568
2017-09-01,2906.0,-0.0027453671928620027,0.00832755031228305
2017-10-01,2891.0,-0.005161734342739144,0.005915100904662518
2017-11-01,2876.0,-0.005188516084399852,0.0034891835310537633
2017-12-01,2877.0,0.0003477051460361036,0.010537407797681864
2018-01-01,2889.0,0.004171011470281538,0.012618296529968376
2018-02-01,2895.0,0.0020768431983384517,0.012946116165150512
2018-03-01,2906.0,0.0037996545768566037,0.015019210618232526
2018-04-01,2921.0,0.005161734342739255,0.014236111111111116
2018-05-01,2934.0,0.00445053064019163,0.013471502590673534
2018-06-01,2948.0,0.0047716428084525475,0.013406668958404921
2018-07-01,2961.0,0.004409769335142366,0.015083990401097092
2018-08-01,2973.0,0.004052684903748771,0.02024708304735756
2018-09-01,2985.0,0.004036326942482349,0.02718513420509283
