date,rentals,MoM,YoY
2014-05-01,3103.0,0.009762447120078122,0.02987056090275475
2014-06-01,3121.0,0.005800837898807698,0.029353562005276945
2014-07-01,3135.0,0.004485741749439276,0.029894875164257595
2014-08-01,3151.0,0.005103668261563055,0.03243774574049807
2014-09-01,3155.0,0.0012694382735638499,0.031720078482668335
2014-10-01,3150.0,-0.0015847860538826808,0.03312561495572308
2014-11-01,3140.0,-0.0031746031746031633,0.03323461665021399
2014-12-01,3132.0,-0.002547770700636942,0.03502974223397226
2015-01-01,3142.0,0.0031928480204341803,0.038334434897554504
2015-02-01,3158.0,0.005092297899427223,0.04087013843111409
2015-03-01,3175.0,0.005383153894870096,0.04030144167758842
2015-04-01,3193.0,0.005669291338582738,0.039049788480312486
2015-05-01,3226.0,0.010335108048856956,0.03963905897518538
2015-06-01,3251.0,0.007749535027898435,0.041653316244793404
2015-07-01,3256.0,0.0015379883112889292,0.03859649122807007
2015-08-01,3267.0,0.0033783783783782884,0.03681370993335453
2015-09-01,3268.0,0.0003060912151822137,0.03581616481774952
2015-10-01,3254.0,-0.004283965728274164,0.03301587301587294
2015-11-01,3239.0,-0.004609711124769489,0.0315286624203821
2015-12-01,3220.0,-0.005866008027168856,0.02809706257982114
2016-01-01,3222.0,0.0006211180124222615,0.02546148949713567
2016-02-01,3225.0,0.0009310986964619072,0.021215959468017687
2016-03-01,3228.0,0.0009302325581395099,0.01669291338582668
2016-04-01,3247.0,0.005885997521685171,0.016911994989038615
2016-05-01,3272.0,0.007699414844471786,0.014259144451332917
2016-06-01,3290.0,0.005501222493887514,0.011996308828052804
2016-07-01,3302.0,0.0036474164133739606,0.014127764127764175
2016-08-01,3299.0,-0.0009085402786189745,0.009794918885827952
2016-09-01,3287.0,-0.0036374658987572417,0.005813953488372103
2016-10-01,3279.0,-0.0024338302403407175,0.007682851874615926
2016-11-01,3250.0,-0.008844159804818563,0.0033961099104662384
2016-12-01,3232.0,-0.005538461538461492,0.003726708074534235
2017-01-01,3223.0,-0.0027846534653465094,0.0003103662321539691
2017-02-01,3212.0,-0.0034129692832765013,-0.004031007751937987
2017-03-01,3208.0,-0.001245330012453305,-0.006195786864931829
2017-04-01,3226.0,0.005610972568578454,-0.006467508469356287
2017-05-01,3251.0,0.007749535027898435,-0.006418092909535433
2017-06-01,3272.0,0.006459550907413014,-0.00547112462006083
2017-07-01,3284.0,0.003667481662591676,-0.005451241671714069
2017-08-01,3291.0,0.0021315468940317217,-0.002424977265838124
2017-09-01,3286.0,-0.0015192950470981348,-0.00030422878004254805
2017-10-01,3263.0,-0.0069993913572732325,-0.004879536444037824
