Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
Bay Ridge,Brooklyn,neighborhood,1350.0,1387.5,1350.0,1350.0,1350.0,1350.0,1300.0,1300.0,1300.0,1400.0,1475.0,1450.0,1425.0,1425.0,1450.0,1500.0,1560.0,1510.0,1650.0,1750.0,1750.0,1550.0,1750.0,1600.0,1650.0,1495.0,1495.0,1700.0,1875.0,1450.0,1450.0,1497.5,1800.0,1800.0,1800.0,1925.0,1550.0,1497.5,1925.0,1795.0,1625.0,1600.0,1750.0,1650.0,1750.0,1650.0,1650.0,1650.0,1600.0,1600.0,1575.0,1600.0,1875.0,1900.0,1900.0,1800.0,1849.5,1800.0,1800.0,1735.0,1700.0,1700.0,1749.0,1800.0,1800.0,1800.0,1800.0,1850.0,1898.0,1850.0,1850.0,1875.0,1900.0,2000.0,2000.0,2000.0,2000.0,2100.0,2000.0,2097.5,2000.0,2100.0,2100.0,2100.0,2000.0,2000.0,1950.0,1975.0,2000.0,2000.0,1995.0,1897.0,1895.0,1900.0,1850.0,1850.0,2000.0,1995.0,1900.0,1962.5,1950.0,1950.0,1850.0,1995.0,2000.0
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,1775.0,1837.5,1887.5,1837.5,,,,,,,,1700.0,,,,1975.0,2000.0,1950.0,2000.0,1950.0,1975.0,1900.0,1950.0,1975.0,1925.0,,1887.5,1887.5,2000.0,2000.0,1850.0,1700.0,1700.0,1850.0,1912.5,1912.5,,1912.5,2000.0,2050.0,2050.0,2012.5,1790.0,1825.0,1950.0,2100.0,1950.0,2050.0,1700.0,,1900.0,1850.0,2037.5,2162.5,2200.0,2200.0,2100.0,2197.5,2150.0,2250.0,2150.0,2100.0,2250.0,2300.0,2300.0,2300.0,2300.0,2200.0,2300.0,2300.0,2400.0,2300.0,2300.0,2350.0,2400.0,2400.0,2350.0,2350.0,2350.0,2225.0,2350.0,2150.0,2250.0,2450.0,2500.0,2549.0,2500.0,2450.0,2400.0,2400.0,2450.0,2362.5,2425.0,2450.0,2375.0,2210.0,2500.0,2350.0,2375.0,2300.0,2300.0,2387.5,2400.0,2400.0,2300.0
Bedford Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,1050.0,1025.0,1000.0,,1100.0,,,,,,,,,1025.0,1097.5,1122.5,,,,,1000.0,1087.5,,,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1375.0,1400.0,1400.0,1400.0,1275.0,1300.0,1350.0,1387.5,1497.0,1550.0,1450.0,1487.5,1450.0,1437.5,1397.5,1450.0,1450.0,1350.0,1470.5,1475.0,1500.0,1512.5,1462.5,1450.0,1400.0,1400.0,1500.0,1500.0,1550.0,1550.0,1550.0,1550.0,1495.0,1500.0,1582.5,1582.5,1499.0,1350.0,1572.5,1600.0,1490.0,1550.0,1575.0,1550.0,1437.5
Bedford-Stuyvesant,Brooklyn,neighborhood,1650.0,1650.0,1600.0,1650.0,1650.0,1592.5,1460.0,1450.0,1500.0,1650.0,1650.0,1750.0,1700.0,1600.0,1500.0,1500.0,1500.0,1600.0,1650.0,1650.0,1675.0,1675.0,1800.0,1700.0,1650.0,1650.0,1800.0,1850.0,1800.0,1795.0,1750.0,1750.0,1800.0,1800.0,1850.0,1995.0,1995.0,1950.0,1950.0,1982.5,2000.0,2050.0,2150.0,2200.0,2195.0,2195.0,2195.0,2195.0,2137.5,2150.0,2200.0,2200.0,2200.0,2300.0,2300.0,2350.0,2300.0,2250.0,2300.0,2300.0,2275.0,2250.0,2300.0,2350.0,2350.0,2400.0,2400.0,2455.0,2400.0,2350.0,2350.0,2300.0,2350.0,2350.0,2350.0,2400.0,2450.0,2475.0,2499.0,2499.0,2475.0,2450.0,2400.0,2400.0,2400.0,2350.0,2342.5,2395.0,2400.0,2476.5,2475.0,2475.0,2450.0,2400.0,2400.0,2350.0,2350.0,2300.0,2395.0,2450.0,2500.0,2500.0,2567.0,2595.0,2550.0
Bellerose,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950.0,,,2000.0,2100.0,,,2000.0,,,,,,,,,,,,,,,,1925.0,,,,,,2275.0,,,,,,,,,,,,,,,,,,,,,,
Belmont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,2175.0,2400.0,,,,,,,1325.0,1299.5,1250.0,1250.0,,,,1075.0,,,,,,,,1295.0,1350.0,,1450.0,1725.0,1500.0,1500.0,1500.0,1499.5,1499.0,1500.0,1762.5,1650.0,1750.0,1550.0,1600.0,1600.0,1400.0,1475.0,1435.0,1550.0,1625.0,1697.5,1700.0,1700.0,1650.0,1775.0,1660.0,1670.0,1700.0,1675.0,1690.0,1699.5,1725.0,1750.0,1775.0,1750.0,1700.0,1612.5,1625.0,1650.0,1612.5,1725.0,1875.0,2000.0,1879.0,1879.0,2100.0
Bensonhurst,Brooklyn,neighborhood,,,,,,,,,,,,,,,1300.0,1300.0,1350.0,1487.5,1375.0,1225.0,,,,,,,,,,,,1525.0,1550.0,,,,1450.0,1500.0,1425.0,1137.5,1275.0,1325.0,1400.0,1450.0,1312.5,1550.0,1500.0,1397.5,1395.0,1397.5,1500.0,1575.0,1600.0,1500.0,1500.0,1575.0,1600.0,1525.0,1500.0,1500.0,1600.0,1725.0,1600.0,1700.0,1697.5,1625.0,1550.0,1600.0,1650.0,1600.0,1700.0,1750.0,1675.0,1700.0,1772.5,1747.5,1800.0,1850.0,1800.0,1900.0,2099.5,2024.5,1875.0,1725.0,2000.0,1847.5,1800.0,1800.0,1700.0,1787.5,1700.0,1900.0,1737.5,1750.0,1712.5,1767.5,1700.0,1772.5,1800.0,1800.0,1880.0,1879.0,1700.0,1850.0,1900.0
Bergen Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,1995.0,1950.0,1950.0,,,,,1997.5,,,,,,,,,,,,,,,,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,,,,2299.0,,2200.0,2150.0,2049.5,,,,,2175.0,2275.0,2300.0,2150.0,2225.0
Boerum Hill,Brooklyn,neighborhood,2600.0,2700.0,2600.0,2500.0,2500.0,2462.5,2475.0,2500.0,2850.0,2725.0,2775.0,2675.0,2637.5,3000.0,3125.0,3000.0,3597.5,2900.0,2800.0,2800.0,2500.0,2997.5,3000.0,3800.0,3500.0,3500.0,3000.0,3262.5,2675.0,2850.0,3047.5,3100.0,3275.0,3075.0,3000.0,3200.0,3100.0,3000.0,3000.0,3200.0,3300.0,3275.0,3200.0,3500.0,4150.0,3600.0,3050.0,3000.0,3075.0,3250.0,3200.0,3400.0,2999.5,3012.5,3045.0,3000.0,3000.0,2997.5,2900.0,2875.0,2800.0,2850.0,3100.0,2800.0,2800.0,2950.0,2900.0,2850.0,2975.0,2900.0,2831.5,2750.0,2800.0,2900.0,3025.0,3350.0,3500.0,3300.0,3200.0,2950.0,2875.0,2800.0,2800.0,2900.0,2979.0,3085.0,2987.0,2987.0,3100.0,3025.0,3200.0,3250.0,3288.5,3162.0,2999.5,3175.0,3000.0,3000.0,3000.0,2997.5,3400.0,3256.5,3225.0,3200.0,3200.0
