date,rentals,MoM,YoY
2014-12-01,1657.0,-0.0006031363088058184,0.034978138663335434
2015-01-01,1660.0,0.0018105009052504784,0.04205900816070307
2015-02-01,1673.0,0.007831325301204783,0.039776258545680454
2015-03-01,1679.0,0.0035863717872086642,0.0599747474747474
2015-04-01,1690.0,0.00655151876116733,0.05889724310776945
2015-05-01,1705.0,0.008875739644970349,0.05769230769230771
2015-06-01,1714.0,0.005278592375366653,0.04703726328649971
2015-07-01,1738.0,0.014002333722286986,0.04888352444176225
2015-08-01,1745.0,0.004027617951668505,0.05183845690174804
2015-09-01,1774.0,0.0166189111747852,0.06931886678722132
2015-10-01,1769.0,-0.002818489289740711,0.06823671497584538
2015-11-01,1774.0,0.002826455624646673,0.0699638118214716
2015-12-01,1767.0,-0.003945885005636973,0.06638503319251665
2016-01-01,1780.0,0.007357102433503071,0.07228915662650603
2016-02-01,1770.0,-0.005617977528089901,0.05797967722653907
2016-03-01,1778.0,0.004519774011299438,0.05896366885050619
2016-04-01,1786.0,0.004499437570303799,0.056804733727810586
2016-05-01,1794.0,0.004479283314669624,0.05219941348973611
2016-06-01,1802.0,0.004459308807134965,0.05134189031505243
2016-07-01,1818.0,0.008879023307436285,0.04602991944764101
2016-08-01,1826.0,0.004400440044004306,0.04641833810888252
2016-09-01,1826.0,0.0,0.02931228861330326
2016-10-01,1825.0,-0.0005476451259583959,0.03165630299604305
2016-11-01,1833.0,0.004383561643835687,0.033258173618940345
2016-12-01,1827.0,-0.00327332242225864,0.03395585738539908
2017-01-01,1824.0,-0.0016420361247947435,0.024719101123595433
2017-02-01,1834.0,0.005482456140350811,0.0361581920903955
2017-03-01,1835.0,0.0005452562704471031,0.032058492688413986
2017-04-01,1830.0,-0.0027247956403270157,0.024636058230683044
2017-05-01,1832.0,0.0010928961748633004,0.021181716833890807
2017-06-01,1836.0,0.0021834061135370675,0.018867924528301883
2017-07-01,1850.0,0.007625272331154731,0.017601760176017667
2017-08-01,1854.0,0.00216216216216214,0.01533406352683464
2017-09-01,1859.0,0.0026968716289104133,0.01807228915662651
2017-10-01,1852.0,-0.0037654653039268515,0.014794520547945167
2017-11-01,1856.0,0.002159827213822796,0.012547735951991212
2017-12-01,1858.0,0.0010775862068965747,0.016967706622879053
2018-01-01,1864.0,0.0032292787944026013,0.021929824561403466
2018-02-01,1868.0,0.0021459227467810482,0.018538713195201728
2018-03-01,1867.0,-0.0005353319057815886,0.01743869209809268
2018-04-01,1867.0,0.0,0.020218579234972722
2018-05-01,1884.0,0.00910551687198713,0.028384279475982543
2018-06-01,1884.0,0.0,0.02614379084967311
2018-07-01,1885.0,0.0005307855626326408,0.018918918918918948
2018-08-01,1894.0,0.004774535809018543,0.02157497303128375
2018-09-01,1899.0,0.0026399155227032622,0.02151694459386766
