date,sales,MoM,YoY
2013-07-01,474080.0,-0.00408801199934461,0.0004579382648570718
2013-08-01,477288.0,0.00676679041511985,0.012868614501807984
2013-09-01,474377.0,-0.006099042925864495,0.015768297670514464
2013-10-01,482618.0,0.01737225877308557,0.057862434790232786
2013-11-01,495048.0,0.025755359311090853,0.07235646438280496
2013-12-01,489023.0,-0.012170536998432513,0.05085106337257894
2014-01-01,495607.0,0.013463579422644756,0.06990786315044129
2014-02-01,497690.0,0.004202926915882976,0.08491357793245369
2014-03-01,500018.0,0.004677610560790857,0.06349473057330934
2014-04-01,497713.0,-0.00460983404597437,0.04712243459600485
2014-05-01,495367.0,-0.004713559822628666,0.03994197434191049
2014-06-01,502196.0,0.013785738654371382,0.054975988706499335
2014-07-01,509319.0,0.014183705166906924,0.07433133648329404
2014-08-01,500323.0,-0.01766280072017734,0.048262265131325366
2014-09-01,503476.0,0.006301928953895697,0.061341506860577155
2014-10-01,506962.0,0.006923865288514186,0.05044155004579198
2014-11-01,498150.0,-0.017381973402345707,0.0062660590488194945
2014-12-01,498630.0,0.0009635651912074383,0.01964529275719129
2015-01-01,506064.0,0.014908850249684136,0.02109937914516946
2015-02-01,507417.0,0.002673574883809149,0.01954429464124252
2015-03-01,506940.0,-0.0009400552208538304,0.013843501633941102
2015-04-01,506752.0,-0.0003708525663786988,0.01816106872836354
2015-05-01,510031.0,0.0064706207375599956,0.029602294864211842
2015-06-01,508014.0,-0.00395466157939417,0.01158511816103669
2015-07-01,519622.0,0.02284976398288241,0.0202289724121818
2015-08-01,521815.0,0.004220375580710645,0.04295625026233063
2015-09-01,533857.0,0.023077144198614397,0.060342498947318246
2015-10-01,536495.0,0.004941398164677091,0.058254859338569664
2015-11-01,542773.0,0.01170187979384707,0.08957743651510586
2015-12-01,542479.0,-0.0005416629051187005,0.08793895273048147
2016-01-01,537487.0,-0.009202199532147737,0.06209293686174089
2016-02-01,536364.0,-0.0020893528587667687,0.057047753622760045
2016-03-01,544101.0,0.01442490547464037,0.07330453308083795
2016-04-01,539082.0,-0.009224390324590437,0.0637984655215964
2016-05-01,539209.0,0.00023558568084269815,0.05720828733939709
2016-06-01,545591.0,0.011835855855521604,0.07396843394079688
2016-07-01,546940.0,0.0024725481175458253,0.0525728317892622
2016-08-01,553286.0,0.01160273521775701,0.06031064649348905
2016-09-01,554146.0,0.0015543498299253056,0.03800455927336355
2016-10-01,567150.0,0.02346673981225167,0.057139395520927394
2016-11-01,577950.0,0.0190425813276911,0.06480978235837087
2016-12-01,574435.0,-0.00608184098970499,0.058907349408917176
2017-01-01,576703.0,0.003948227388651526,0.07296176465663362
2017-02-01,574913.0,-0.0031038506822402834,0.07187096822307248
2017-03-01,576989.0,0.0036109811397551095,0.06044466009068161
2017-04-01,580284.0,0.005710680792874845,0.07642993088250027
2017-05-01,594094.0,0.023798691675110728,0.1017879894437963
2017-06-01,586918.0,-0.012078896605587697,0.07574721723782107
2017-07-01,579039.0,-0.013424362517421518,0.05868833875745061
2017-08-01,580032.0,0.0017149103946365596,0.048340279710674006
2017-09-01,590367.0,0.017817982456140413,0.0653636406290039
2017-10-01,600505.0,0.017172369051793313,0.058811601868994146
2017-11-01,613786.0,0.02211638537564209,0.06200536378579469
2017-12-01,626376.0,0.020512035139283125,0.09042102239591943
2018-01-01,620552.0,-0.0092979296780209,0.076033937746119
2018-02-01,623964.0,0.0054983305186351306,0.08531899609158256
2018-03-01,620182.0,-0.006061247123231417,0.07485931274253055
2018-04-01,614931.0,-0.008466869402852684,0.05970697106933853
2018-05-01,615604.0,0.0010944317329912856,0.03620639158113015
2018-06-01,617821.0,0.0036013411218900337,0.05265301115317644
2018-07-01,627916.0,0.01633968414799747,0.08441054920307622
2018-08-01,633221.0,0.008448582294447116,0.09170011309720838
2018-09-01,640569.0,0.011604163475311235,0.08503524079089786
