model_name,column_name,column_type,comment,index
model.qualtrics_source.stg_qualtrics__user,time_zone,integer,The IANA time zone setting for the user.,
model.qualtrics_source.stg_qualtrics__user,is_unsubscribed,integer,Boolean indicating if the user unsubscribed.,
model.qualtrics_source.stg_qualtrics__user,user_type,text,ID of the user type. See mappings of user types to their type IDs [here](https://api.qualtrics.com/dc2be1c61af61-user-type).,
model.qualtrics_source.stg_qualtrics__user,username,text,UI-facing username for the account.,
model.qualtrics_source.stg_qualtrics__user,source_relation,text,"The schema or database this record came from if you are making use of the qualtrics_union_schemas or qualtrics_union_databases variables, respectively. Empty string if you are not using either of these variables to union together multiple Qualtrics connectors.",
model.qualtrics_source.stg_qualtrics__survey_embedded_data,_fivetran_synced,timestamp without time zone,The time when a record was last updated by Fivetran.,
model.qualtrics_source.stg_qualtrics__survey_embedded_data,import_id,text,A unique identifier to recognize this import job of embedded survey data.,
model.qualtrics_source.stg_qualtrics__survey_embedded_data,key,text,Key of the embedded survey data element.,
model.qualtrics_source.stg_qualtrics__survey_embedded_data,response_id,text,The unique ID for the `SURVEY_RESPONSE`.,
model.qualtrics_source.stg_qualtrics__survey_embedded_data,value,integer,Key of the embedded survey data element.,
model.qualtrics_source.stg_qualtrics__survey_embedded_data,source_relation,text,"The schema or database this record came from if you are making use of the qualtrics_union_schemas or qualtrics_union_databases variables, respectively. Empty string if you are not using either of these variables to union together multiple Qualtrics connectors.",
model.qualtrics_source.stg_qualtrics__survey_response,_fivetran_synced,timestamp without time zone,The time when a record was last updated by Fivetran.,
model.qualtrics_source.stg_qualtrics__survey_response,distribution_channel,text,The method by which the survey was distributed to respondents.,
model.qualtrics_source.stg_qualtrics__survey_response,duration_in_seconds,integer,How long it took for the respondent to finish the survey in seconds.,
model.qualtrics_source.stg_qualtrics__survey_response,finished_at,timestamp without time zone,The point in time when the survey response was finished.,
model.qualtrics_source.stg_qualtrics__survey_response,is_finished,boolean,"Boolean (stored as int) indicating if the respondent finished and submitted the survey, the value will be 1, otherwise it will be 0.",
model.qualtrics_source.stg_qualtrics__survey_response,response_id,text,The unique ID for the `SURVEY_RESPONSE`.,
model.qualtrics_source.stg_qualtrics__survey_response,ip_address,text,IP address of the recipient.,
model.qualtrics_source.stg_qualtrics__survey_response,last_modified_at,timestamp without time zone,The point in time when the record was last modified.,
model.qualtrics_source.stg_qualtrics__survey_response,location_latitude,integer,The approximate location of the respondent at the time the survey was taken.,
model.qualtrics_source.stg_qualtrics__survey_response,location_longitude,integer,The approximate location of the respondent at the time the survey was taken.,
model.qualtrics_source.stg_qualtrics__survey_response,progress,integer,How far the respondent has progressed through the survey as a percentage out of 100.,
model.qualtrics_source.stg_qualtrics__survey_response,recipient_email,text,Email of the [recipient](https://api.qualtrics.com/ZG9jOjg3NzY2OQ-getting-information-about-distributions#the-recipients-object) if they are a single recipient (not a mailing list or sample).,
model.qualtrics_source.stg_qualtrics__survey_response,recipient_first_name,text,First name of the [recipient](https://api.qualtrics.com/ZG9jOjg3NzY2OQ-getting-information-about-distributions#the-recipients-object) if they are a single recipient (not a mailing list or sample).,
model.qualtrics_source.stg_qualtrics__survey_response,recipient_last_name,text,Last name of the [recipient](https://api.qualtrics.com/ZG9jOjg3NzY2OQ-getting-information-about-distributions#the-recipients-object) if they are a single recipient (not a mailing list or sample).,
model.qualtrics_source.stg_qualtrics__survey_response,recorded_date,timestamp without time zone,The point in time when the survey response was recorded.,
